stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0214,HRF-0214,-4.533000000000001,-9.736333333333334,5.203333333333333,Europe
HRF-0215,HRF-0215,0.3069999999999986,-2.770500000000001,3.0774999999999997,Asia
HRF-0216,HRF-0216,-4.030999999999999,-4.9535,0.9225000000000012,Asia
HRF-0217,HRF-0217,-9.121,-1.7576666666666678,-7.363333333333332,Europe
HRF-0218,HRF-0218,-1.7910000000000004,-2.0885000000000007,0.2975000000000003,Oceania
HRF-0219,HRF-0219,2.3290000000000006,-5.4035,7.732500000000001,North America
HRF-0220,HRF-0220,-1.349999999999998,-0.6799999999999987,-0.6699999999999994,Oceania
HRF-0221,HRF-0221,2.7189999999999976,-3.523500000000002,6.2425,North America
HRF-0222,HRF-0222,-1.091000000000001,-1.1509999999999974,0.05999999999999628,Asia
HRF-0223,HRF-0223,-7.084000000000003,-3.9640000000000035,-3.1199999999999997,North America
HRF-0224,HRF-0224,1.817,-1.7163333333333324,3.5333333333333323,Europe
HRF-0225,HRF-0225,-3.361000000000004,-0.21600000000000286,-3.1450000000000014,Europe
HRF-0226,HRF-0226,2.548999999999996,-1.3110000000000024,3.8599999999999985,Europe
HRF-0227,HRF-0227,-2.923000000000002,-1.1030000000000015,-1.8200000000000003,Africa
HRF-0228,HRF-0228,-3.463000000000001,-1.7105000000000024,-1.7524999999999986,North America
HRF-0229,HRF-0229,-0.9010000000000034,-1.2010000000000023,0.29999999999999893,North America
HRF-0230,HRF-0230,-1.1409999999999982,-2.3559999999999994,1.2150000000000012,Africa
HRF-0231,HRF-0231,-2.789999999999999,-1.573333333333333,-1.2166666666666661,North America
HRF-0232,HRF-0232,-2.789999999999999,-1.573333333333333,-1.2166666666666661,North America
HRF-0233,HRF-0233,-2.789999999999999,-1.573333333333333,-1.2166666666666661,North America
HRF-0234,HRF-0234,-0.4100000000000001,-2.866666666666666,2.4566666666666657,North America
HRF-0235,HRF-0235,-7.511000000000003,-4.611000000000001,-2.900000000000002,North America
HRF-0236,HRF-0236,0.9140000000000016,-7.392666666666668,8.30666666666667,Europe
HRF-0237,HRF-0237,0.9140000000000016,-7.392666666666668,8.30666666666667,Europe
HRF-0238,HRF-0238,-10.787000000000004,-2.1470000000000034,-8.64,Europe
HRF-0239,HRF-0239,-6.613,-4.939666666666667,-1.6733333333333338,North America
